10062 4481 0
10040 4511 0.0
10048 4472 0.0
9996 4572 0.0
10018 4540 0.0
9996 4562 0.0
10062 4491 0.0
10011 4523 18819.4807678
10025 4520 18819.4807678
10025 4484 18819.4807678
9996 4550 18819.4807678
10003 4530 18819.4807678
9996 4523 18819.4807678
10033 4540 18819.4807678
9967 4550 18819.4807678
9989 4533 18819.4807678
10025 4511 18819.4807678
10033 4513 18819.4807678
9996 4530 10855.7951259
10033 4552 10855.7951259
10062 4513 10855.7951259
9989 4550 10855.7951259
9981 4550 10855.7951259
10040 4511 10855.7951259
10025 4520 10855.7951259
10011 4520 10855.7951259
10092 4484 10855.7951259
9974 4523 10855.7951259
10025 4520 10855.7951259
10018 4562 10850.86305
10018 4511 10850.86305
10055 4504 10850.86305
10011 4550 10850.86305
9746 4211 10880.4137646
10379 3721 10471.8861237
9952 3474 9883.30072354
10158 3074 9587.84299875
9878 2711 9107.24309573
10011 2487 8671.79302789
10180 2109 8403.52461371
10003 1866 7949.33565041
9923 1586 7658.25801903
10018 1197 7322.11432493
9915 917 6854.89290204
9886 615 6519.31472825
9930 378 6156.82946231
10018 183 5872.67783545
10011 283 5198.21607493
9923 583 5080.01090103
10099 858 4719.23771795
9937 1131 4389.3341997
9945 1410 4061.74181995
9900 1732 3726.91814334
9945 2161 3340.35246434
9981 2265 2825.137287
9871 2636 2701.59687261
10033 2899 2255.35650443
9886 3221 1940.18065178
9967 3549 1553.55202052
9856 3841 1159.92857357
9812 4016 809.667558358
9967 4374 600.122036578
9908 4643 169.812570506
9790 4416 -189.538145345
9923 4628 106.455975647
9665 4394 -174.418535634
9746 4423 135.454135426
9923 4494 112.287598205
9967 4868 26.9247081484
9967 4435 -463.054703834
9547 4978 76.3939756387
9900 4296 -595.706382455
9665 4636 267.44091286
10025 3792 -179.592615567
9775 4384 872.870874809
10092 4306 156.905238828
9768 4939 253.102548252
9775 4572 -549.25405857
9878 3666 -104.978889848
9650 4016 1024.3114768
9908 4055 599.443841423
9827 4636 553.848721817
10062 3965 -180.543748238
9628 4413 664.601107942
10077 4364 122.664474556
9937 4751 183.390767686
9746 4598 -322.699203983
10048 3714 -137.006785737
9614 4101 966.640049745
9996 4023 497.300628452
9952 4435 592.70246294
9724 4955 96.403200479
9856 4513 -568.015419008
10025 3792 -33.887579017
9665 4065 872.394693558
9915 4055 540.941848309
9989 4474 554.038797279
9731 4997 49.577647472
9908 4523 -618.434987603
